Rank,Name,Tags,Rating
11,your name.,"mitsuha and taki are two total stranger live complet differ lives. but when\xa0mitsuha make a wish to leav her mountain town and for the bustl citi of tokyo,\xa0they becom connect in a bizarr way. she dream she is a boy live in tokyo while\xa0taki dream he is a girl from a rural town he’ never been to.\xa0what doe their newfound\xa0connect mean? and how will it bring them together? makotoshinkai drama romanc bodi swap gender bender opposit attract school life supernatur origin work 2016 movi highestrank",4.51
12,Haikyuu!! Second Season,"after lose to aoba johsai at the inter-high, the karasuno high volleybal team is work their hardest toward the spring tournament. in the meantime, it decid that theyll be\xa0head to tokyo for a train camp with nekoma high and a hand of other power schools.\xa0they team is practic hard, and not day dure their run, hinata and kageyama get too excit and end up lost, and end up meet someon rather unexpected... haruichifurud shounen sport school club school life tournament volleybal base on a manga 2015 longseri highestrank",4.51
13,Demon Slayer: Kimetsu no Yaiba,"bloodthirsti demon lurk in the woods, and nobodi dare to ventur out at night, save for the demon slayer of legend. surviv in thi harsh world, young tanjir take it upon himself to protect hi family–until the day that everyth is taken from him in a viciou slaughter. now, all he ha left is hi sister, and she’ not even human anymore. koyoharugotoug action adventur comedi drama fantasi shounen death of a love one demon histor martial art orphan sibl swordplay base on a manga violenc 2019 longseri highestrank",4.51
14,Hunter x Hunter (2011),"drawn to the mystiqu of the unknown, hunter travel the world in search of terrifi creatures, incred riches, and unexplor lands. gon freecss is a naive-yet-determin young boy who aspir to join the rank of these individuals, in order to find hi miss father ging - a master of the profess himself. to reach hi goal, he partak in the formid hunter exam, a seri of test that push the particip to their physic and mental limits, with a hunter licens as the prize. dure the exam gon befriend veng kurapika, doctor-to-b leorio, and skill assassin killua, who have enter for their own reasons. but with the sinist hisoka stand in their way, will gon and hi friend be abl to succeed in obtain their reward, or even escap with their lives? yoshihirotogashi action adventur drama fantasi shounen monster superpow base on a manga violenc 2011 longseri highestrank",4.51
15,A Silent Voice,"after transfer into a new school, a deaf girl, shouko nishimiya, is bulli by the popular shouya ishida. as shouya continu to bulli shouko, the class turn it back on him. shouko transfer and shouya\xa0grow up as an outcast. alon and depressed, the regret shouya find shouko to make amends. yoshitokiooima drama shounen disabl melancholi mental ill school life base on a manga bullying, matur themes, suicid 2016 movi highestrank",4.51
16,Violet Evergarden Movie,"as the world move on from the war and technolog advanc bring chang to her life, violet still hope to see her lost command offic again. kanaakatsuki drama melancholi war base on a light novel violenc 2020 movi highestrank",4.5
17,Haikyuu!! To the Top: Part II,continu of haikyuu!! to the top. haruichifurud shounen sport anim school club tournament volleybal base on a manga 2020 miniseri highestrank,4.5
18,Heaven Official's Blessing Special,no synopsi yet - check back soon! moxiangtongxiu bl romanc shounen-ai afterlif ancient china chines anim demon king ghost god interspeci relationship non-human protagonist opposit attract royalti supernatur xianxia base on a web novel 2021 movi highestrank,4.5
19,That Time I Got Reincarnated as a Slime Season 2,"with the help of queen ramiris, the children are now in stabl condit and should lead normal lives, much to rimuru’ relief. but all is not well… in fact, there are forc of humankind in thi fantasi world that do not look kindli upon a slime-l nation of monsters. and now, insidi threat to rimuru and the countri of tempest may be lurk around everi corner! fuse action adventur fantasi shounen cheat demon isekai kingdom build magic manag modern knowledg monster person in a strang world polit reincarn rpg slime base on a manga 2021 miniseri highrank",4.48
20,Given,"somehow, the guitar that he use to love to play and the basketbal game that he found so fun just lost their appeal... that wa until ritsuka uenoyama randomli met mafuyu sato. ritsuka had start lose hi passion for music in hi everyday life, but then he hear mafuyu sing for the first time. the song reson with hi heart and the distanc between them start to change. natsukikizu bl drama romanc shounen-ai death of a love one music noitamina base on a manga matur themes, suicid 2019 miniseri highrank",4.48
21,Code Geass: Lelouch of the Rebellion R2,"area 11 is still under britannian rule and the eleven remain brutal oppressed; what’ more, their saviour, zero, is nowher to be found and all of britannia believ the rebellion is final over. elsewhere, have lost the battle, lelouch set hi sight upon win the war – but the task is no easier sinc the britannian forc have learn some valuabl lesson all of their own. not onli have they discov hi ident and captur mani of hi black knights, but they now manipul the memori of all of hi friends. worst of all, they have taken the most preciou thing in hi life – hi dear sister, nunnally. with hi hatr for the britannian stronger than ever before, lelouch must now recuper hi forc and bring their rule of terror to an end. goroutaniguchi mecha sci fi conspiraci mind game overpow main charact polit psycholog real robot rebellion rivalri royalti secret ident superpow terror origin work 2008 longseri highrank",4.47
22,Mo Dao Zu Shi 2,the second season of mo dao zu shi. moxiangtongxiu action fantasi mysteri ancient china chines anim cultiv histor martial art overpow main charact supernatur swordplay war xianxia zombi base on a web novel violenc 2019 ova highrank,4.46
23,Gintama: The Very Final,"thi is the actual ending.\xa0th countdown to destruct ha begun! all will join to reclaim an edo in grave peril! earth is face it darkest days, and the member of the odd job must come togeth to save it from an otherworldli menace. old alli gintoki, takasugi, and katsura strive their hardest for their own ideals, but stand in their way is someon with whom they share a sad history: utsuro, an altern person of their former teacher and mentor, shoyu. have been spawn by altana, the energi that fuel all planets, thi immort fiend ha regener multipl time until final becom utsuro, the ultim enemy... and he intend to take down the entir world in order to end hi own life.\xa0gintoki and the other set out to fulfil the wish of their teacher shoyo and thwart utsuro plans. shinpachi, kagura, the shinsengumi, member of the kabuki district, and even former enemi will join their fight. as utsuro power grows, takasugi fight for hi veri life. will gintoki be abl to put an end to all this?! hideakisorachi action comedi drama sci fi shounen alien feudal japan gag parodi samurai swordplay base on a manga violenc 2021 movi highrank",4.46
24,Link Click,"use superpow to enter their clientele’ photo one by one, cheng xiaoshi and lu guang take their work serious at “time photo studio,” a small photographi shop set in the backdrop of a modern metropolis. each job can be full of danger, but noth is more import than fulfil everi order, no matter the scale…or peril involved! lihaol drama fantasi chines anim contemporari fantasi superpow time travel urban fantasi origin work violenc 2021 miniseri highrank",4.46
25,Mob Psycho 100 II,second season of mob psycho 100. one action comedi exorcist psychic power psycholog school life supernatur superpow base on a manga violenc 2019 miniseri highrank,4.46
26,Haikyuu!! To the Top,"the karasuno high school volleybal club final won their way into the nation after an intens battl for the miyagi prefectur spring tournament qualifiers.\xa0a they were prepar for the nationals, kageyama is invit to go to all-japan youth train camp. at the same time, tsukishima is invit to go to a special rooki select train camp for first-year in miyagi prefecture. hinata feel panic that he’ be left behind as one of the first-year and then decid to show up at the miyagi prefectur rooki select train camp anyway...\xa0a they prepar for the nationals, hinata, kageyama and the rest of the karasuno high school volleybal team get readi to face some new challenges!! haruichifurud shounen sport anim school club tournament volleybal base on a manga 2020 miniseri highrank",4.46
27,Fruits Basket 2nd Season,"second season of fruit basket. natsukitakaya comedi drama fantasi romanc shoujo anim transform contemporari fantasi curs dysfunct famili love triangl mental ill orphan base on a manga bullying, emot abuse, matur themes, physic abuse, domest abus 2020 longseri highrank",4.45
28,The Promised Neverland,"emma, norman, ray, and mani other sibl live at an isol orphanag cut off from the outsid world. they live a charm life surround by friend and watch over by mama, their caretaker, until they leav the hous for a foster famili by the age of twelve. the onli rule is that they must never ventur outsid of the gate that isol them from the rest of society, for danger await. but one day, the children learn the true horror of what\ in store for their short lives... kaiushirai fantasi horror mysteri sci fi shounen dark fantasi isol societi mind game noitamina orphan outsid world psycholog thriller base on a manga matur themes, domest abuse, self-harm 2019 miniseri highrank",4.45
29,Spirited Away,"chihiro and her famili are on their way to their new home, when they discov an abandon amus park. after chihiro famili mysteri turn into pigs, she is thrown into a surreal world of magic and fantasy. join her as she struggl to surviv in the bathhous of the gods, rule by an evil witch who ha stolen not onli her name, but her way back to the real world. hayaomiyazaki adventur fantasi curs famili friendli japanes mytholog magic person in a strang world youkai origin work 2001 movi highrank",4.45
30,That Time I Got Reincarnated as a Slime Season 2: Part II,continu of that time i got reincarn as a slime season 2. fuse action adventur fantasi shounen cheat demon isekai kingdom build magic manag modern knowledg monster person in a strang world polit reincarn rpg slime base on a manga physic abus 2021 miniseri highrank,4.45
31,Heaven Official's Blessing,"xie lian is a kind, gentl deiti who just cant seem to catch a break. the crown princ of a long-destroy kingdom, he endur centuri of plagues, violence, poverty, and multipl demot that have gotten him kick out of heaven. now a god with no followers, he reduc to collect scrap in the mortal realm. when hi banish is final lift and he is allow to ascend to heaven for a third time, hi rotten luck hold true when hi ascens caus the destruct of a heavenli palace; send the long-suff immort right back to the mortal realm to make up for hi misde by exorcis ghosts. xie lian soon meet a mysteri man in red who is clearli more than he seems, and the two grow ever closer as they begin to uncov dark secret the heavenli realm would have much prefer to keep hidden... moxiangtongxiu action bl comedi drama romanc shounen-ai afterlif ancient china chines anim demon king demon ghost god heaven histor interspeci relationship non-human protagonist opposit attract religion royalti supernatur xianxia base on a web novel bullying, violenc 2020 miniseri highrank",4.45
32,Ranking of Kings,"bojji, a deaf, powerless princ who cannot even wield a children\ sword. as the firstborn son, he strive hard and dream of becom the world\ greatest king. however, peopl mutter about him behind hi back as a good-for-noth princ and no way he can be king. bojji is abl to make hi first ever friend, kage (shadow) —\xa0a liter shadow on the ground who somehow understand bojji well. (kage is a survivor of the kage assassin clan that wa all but wipe out. no longer a killer, kage now make end meet by stealing.) the stori follow bojji\ coming-of-ag as he meet variou peopl in hi life, start with hi fate encount with kage. sousuketoka action adventur fantasi come of age disabl royalti base on a manga violenc 2021 movi highrank",4.45
33,Mushoku Tensei: Jobless Reincarnation - Part II,"rudeu greyrat new life take a shock turn when the countri of roa is overcom by a blind light, leav the fate of hi famili and friend unknown. he and hi student, eri are transport to the demon continent, a foreign land which is strang even to rudy. when a mysteri figure, claim to be a god and offer advice, rudi must decid whether or not thi stranger can be trusted. can rudi and eri make it back home, or will thi be the last new world in which rudi ever awakens? manabuokamoto action adventur drama fantasi romanc demon isekai magic neet person in a strang world reincarn base on a light novel matur themes, violenc 2021 miniseri highrank",4.45
34,Gintama.: Shirogane no Tamashii-hen 2,continu of\xa0gintama.: shirogan no tamashii-hen. hideakisorachi action comedi drama sci fi shounen alien crude feudal japan gag samurai slapstick swordplay base on a manga 2018 courseri highrank,4.44
35,Clannad After Story,"summer break is now over; the second semest ha start for tomoya, nagisa and the others, and littl ha changed. sinc tomoyas\xa0relationship with hi father is still troubled, he continu to live with nagisa and her family, even if it mean get rope into organ a basebal team for the famili bakery. life at school continu as normal with sunohara as carefre as ever; however, when hi sister mei voic her concern about him, the seri of event that follow place a strain on sunohara and tomoya’ friendship. whether it save a person from themselv or pass on a messag from the past, one thing’ for sure: no matter how tough thing get, good friend will alway be there to help out. tatsuyaishihara drama romanc adult coupl come of age famili life ill base on a visual novel drug use, matur theme 2008 courseri highrank",4.44
36,Mo Dao Zu Shi,"as the grandmast who found the demon sect, wei wuxian roam the world in hi wanton ways, hate by million for the chao he created. in the end, he wa back-stab by hi dearest shidi and kill by power clan that combin to overpow him. he incarn into the bodi of a lunat who wa abandon by hi clan and is later, unwillingly, taken away by a famou cultiv among the clans—lan wangji, hi archenemy. moxiangtongxiu action adventur mysteri ancient china chines anim cultiv histor rebellion supernatur swordplay war xianxia zombi base on a web novel violenc 2018 courseri highrank",4.44
37,Gintama': Enchousen,third season of gintama. hideakisorachi action comedi drama sci fi shounen alien crude feudal japan gag parodi samurai slapstick swordplay base on a manga 2012 miniseri highrank,4.44
38,Banana Fish,"natur made ash lynx beautiful; nurtur made him a cold ruthless killer. a runaway brought up as the adopt heir and sex toy of papa dino golzine, ash, now at the rebelli age of seventeen, forsak the kingdom held out by the devil who rais him. but the hideou secret that drove ash\ older brother mad in\xa0iraq ha suddenli fallen into papa\ insati ambiti hands--and it\ exactli the wrong time for eiji okamura, a pure-heart young photograph from japan, to make ash lynx\ acquaintance... akimiyoshida action drama shoujo america crimin gang noitamina base on a manga drug use, matur themes, physic abuse, prostitution, sexual abuse, violenc 2018 courseri highrank",4.44
39,Douluo Dalu 2,second season of\xa0douluo dalu. hongyutang action fantasi chines anim cultiv xianxia base on a web novel cg anim 2018 courseri highrank,4.44
40,Gintama Kanketsu-hen: Yorozuya yo Eien Nare,"while watch a movie, gintoki come upon a movi thief, a figur in japanes cultur often depict as a man with a video camera as a head. after scold the movi thief for hi actions, he find himself warp into anoth world via the camera lens. in thi world, 5 year have passed, and not onli ha the land of edo chang into an apocalypt wasteland, but kagura ha chang into a beauti woman with no chines speech pattern, shinpachi ha turn into a cool samurai who is not a tsukkomi anymore, and the gintoki of thi time ha gone missing, though he is assum to be dead. gintoki is determin to find out the truth of the deadli sick that is ravag edo, and also to understand the feel of kagura and shinpachi, who have been tri to deal with their leader\ disappearance. hideakisorachi action comedi drama sci fi shounen alien feudal japan samurai swordplay time travel base on a manga 2013 movi highrank",4.44
41,Gintama.,fifth\xa0season of gintama. hideakisorachi action comedi drama sci fi shounen alien crude feudal japan gag samurai slapstick swordplay base on a manga 2017 miniseri highrank,4.44
42,Gintama.: Shirogane no Tamashii-hen,final arc of gintama. hideakisorachi action comedi drama sci fi shounen alien crude feudal japan gag samurai slapstick swordplay base on a manga 2018 miniseri highrank,4.44
43,Attack on Titan 3rd Season,"deep in the forest, eren continu to hone hi titan abil so that the militari can reclaim wall maria. but soon, the scout find themselv persecut for a crime they didnt commit, and eren and christa are thrust into the center of a polit conspiraci that put all of mankind at risk. human must fight against human - not titan - if they are to live anoth day, as all the while new secret about the titan emege... hajimeisayama action fantasi horror dark fantasi isol societi militari outsid world polit post-apocalypt base on a manga cannibalism, explicit violenc 2018 miniseri highrank",4.44
44,Steins;Gate,"the eccentr mad scientist okabe, hi childhood friend mayuri, and the otaku hacker daru have band togeth to form the futur gadget research laboratory, and spend their day in a ramshackl laboratori hang out and occasion attempt to invent incredible, yet gener useless, futurist gadgets. however, their claymor is a hydrat and their hair dryer flip breakers, and the onli invent that’ even remot interest is their phone microwave, which transform banana into ooz green gel. but when an experi goe awri the gang discov that the phone microwav can also send text messag to the past. and what more, the word they send can affect the flow of time and have unforeseen, far-reach consequences... hiroshihamasaki sci fi conspiraci lgbt theme psycholog thriller time travel base on a visual novel matur themes, suicid 2011 courseri highrank",4.44
45,Haikyuu!!,"shoyo hinata isnt a larg guy, but he got huge ambitions. ever sinc see a small player score in a nation championship, he been determin to becom the next big thing in high school volleyball. unfortunately, the one time he wa abl to pull enough player togeth to form a team in junior high, they were complet trash in their first and onli match against a team led by up-and-com setter tobio kageyama.now, enrol at the same high school where hi idol onc played, shoyo final go to get hi shot to join and play with a top team. there just one problem: tobio kageyama decid to attend the same school, and he alreadi consid one of the best player in the game. can a kid out of nowher hold hi own against the king of the court? or could the rivalri and competit actual be the best thing for both of them? haruichifurud shounen sport school club school life tournament volleybal base on a manga 2014 longseri highrank",4.43
46,Gintama',"gintoki sakata, kagura, and shinpachi shimura continu to scrape togeth a live as the freelanc jack-of-all-trad group yorozuya in edo while live among the sever odd human and alien that inhabit the peculiar metropolis. hideakisorachi action comedi drama sci fi shounen alien break the fourth wall crude feudal japan gag parodi samurai slapstick swordplay base on a manga 2011 longseri highrank",4.43
47,One-Punch Man,"in a\xa0c plagued\xa0with thugs, mutants, and supervillains, saitama decid to becom a superhero for fun. he envis an excit life where he is constantli challeng with tough opponents, but after three year of intens training, he becom so strong that he defeat everi enemi with one punch! hi dream of\xa0engag challeng foe ha gone up in smoke, and hi overpow life is fill with overpow boredom. then a cyborg name geno learn about saitama amaz abil and beg him to make him hi disciple. saitama isnt interest in take on an apprentice, but geno isnt give up. can he convinc the disillusioned\xa0hero to teach him the secret of hi strength? and will saitama ever find a worthi adversari to battle? yuusukemurata action comedi sci fi seinen cyborg monster overpow main charact parodi satir superhero superpow base on a manga explicit violenc 2015 miniseri highrank",4.43
49,Gintama°,fourth\xa0season of gintama. hideakisorachi action comedi drama sci fi shounen alien break the fourth wall crude feudal japan gag parodi samurai slapstick swordplay base on a manga 2015 longseri highrank,4.43
50,Howl's Moving Castle,"the respons sophi led a rel normal life, safe within the wall of the hat shop in which she works; for outside, it is rumored, the evil wizard howl roam the land in hi mobil black castle. after a chanc and mystic encounter, poor sophi find herself transform by a witch spell which make her appear to be an old woman, and thu embark on an adventur to find howl’ castl and put an end to her curse. a mystic world of talk flames, sentient scarecrows, and magic aplenti await those who seek the legendari howl... dianawynnejon adventur fantasi romanc curs famili friendli lifestyl chang magic witch base on a novel 2004 movi highrank",4.43
51,Natsume's Book of Friends Season 6,preciou day with kind friends. a beauti yet fleet stori about peopl and spirits. natsum takashi had been abl to see youkai ever sinc he wa young and inherit hi grandmoth reiko’ book of friends. he spend hi day with hi self-proclaim bodyguard nyanko-sensei and free the youkai that were bound to the book. natsum continu to find way to protect the preciou day where he tri to find which path to follow through hi connect with spirit and those involv with them and be help out by friend who share the same feelings. yukimidorikawa drama fantasi shoujo bodyguard cat countrysid episod iyashikei japanes mytholog orphan supernatur youkai base on a manga 2017 miniseri highrank,4.43
52,JoJo's Bizarre Adventure: Golden Wind,"giorno giovanna is a young man that live in napl and is the son of dio, the nemesi of the joestar family. when he wa younger, he wa oppress and start act out, but one day, he save a gang member and then learn how to trust people. bizarrely, he never forgot that and learn how to be respect with\xa0 hi own gang that straighten him out. that’ also how he start aspir to becom a gang-star. now fifteen, giorno get in troubl with the gang passione, which control the italian mafia underworld, and now, he’ be targeted. hirohikoaraki action adventur shounen europ itali supernatur base on a manga anim abuse, matur theme 2018 longseri highrank",4.43
53,JoJo's Bizarre Adventure: Stone Ocean,"florida, u.s.a, 2011 after an accid while on a drive with her sweetheart, jolyn cujoh fall into a trap and is sentenc to fifteen years. she is sent to the state-run maximum-secur correct facil green dolphin street prison—aka the aquarium. on the verg of despair, she receiv a pendant from her father that caus a mysteri power to awaken insid of her. there are thing in thi world that are more terrifi than death, and what\ happen in thi prison is definit one of them. a messag from a mysteri boy who appear befor jolyne, inexplic event that occur one after another, the horrifi truth told to her by her father when he come to visit, and the name dio... will jolyn ultim be set free from thi stone ocean they call a prison? the final battl to end century-long fate confront between the joestar famili and dio begins! hirohikoaraki action adventur shounen america prison supernatur base on a manga 2021 miniseri highrank",4.42
54,Vinland Saga,"around the end of the millennium, viking, the mightiest but atroci tribe, had been outbreak everywhere. thorfinn, the son of the greatest warrior, live hi childhood in the battlefield. he wa seek the land of reveri call vinland. thi is the stori of a true warrior in an age of turmoil. makotoyukimura action seinen death of a love one england europ histor mediev reveng swordplay war weak to strong base on a manga violenc 2019 courseri highrank",4.42
55,Natsume's Book of Friends Season 4,"takashi natsum continu to return the name of the spirit that have been written in the book of friend he inherit from hi grandmother, reiko natsume. while natsum is still aid by the chubbi nyanko-sensei, he\ now help by some of the friend he had made in hi journey; be it human be or spirits. as he becom closer to both, natsum face the inevit question of the side he ha to take especi when there is a conflict between the two. yukimidorikawa drama shoujo slice of life bodyguard cat countrysid episod iyashikei japanes mytholog orphan supernatur youkai base on a manga 2012 miniseri highrank",4.4
56,Assassination Classroom 2nd Season,"class 3e is about to begin their second semester! and while some thing have changed, the class assign is still the same: kill their teacher befor the end of the year! easier said than done sinc koro sensei made it clear he wont go down without a fight. will these student be abl to take down the tentacl monster that move at mach 20 befor he can destroy the world? yuseimatsui action comedi sci fi shounen assassin non-human protagonist overpow main charact parodi school life teach base on a manga 2016 longseri highrank",4.4
57,Natsume's Book of Friends Season 5,"takashi natsum is a boy who\ been abl to see youkai ever sinc he wa a child. ever sinc he inherit the book of friend from hi grandmoth reiko, he and hi self-proclaim bodyguard nyanko-sensei have spent their day return name to the youkai who are bound by the book. as he meet the differ youkai and people, he find himself with mani more thing that he care about. he wonder whether it\ right to keep secret to protect someon as littl by littl he work up the courag to build even more friendships. yukimidorikawa drama shoujo slice of life bodyguard cat countrysid episod iyashikei japanes mytholog orphan supernatur youkai base on a manga 2016 miniseri highrank",4.4
58,My Hero Academia 3,"summer is here,and the hero of class 1-a and 1-b are in for the toughest train camp of their lives! a group of season pro push everyone’ quirk to new height as the student face one overwhelm challeng after another. brave the element in thi secret locat becom the least of their worri when routin train turn into a critic struggl for survival. kouheihorikoshi action comedi drama sci fi shounen superhero superpow base on a manga violenc 2018 longseri highrank",4.4
59,Violet Evergarden,"as a child, violet wa use by the militari as a weapon becaus of her combat prowess. her one friend and protector wa major gilbert, who name the girl, taught her how to speak and write, and care for her. but after be serious injur in the war, lose both arm in the process, violet is brought to the evergarden household to recuperate. there, she train to becom an auto memori doll: a person who write letter for others, deciph their true feel and express it on paper. as violet travel the world, she help her client find love and comfort through the letter she writes; but more importantly, she slowli begin to understand emotions, so that she can final cope with what she’ done, and what she’ lost. taichiishid drama lifestyl chang melancholi war base on a light novel violenc 2018 miniseri highrank",4.39
60,That Time I Got Reincarnated as a Slime,"lone thirty-seven-year-old satoru mikami is stuck in a dead-end job, unhappi with hi mundan life, but after die at the hand of a robber, he awaken to a fresh start in a fantasi realm...a a slime monster! as he acclim to hi goopi new existence, hi exploit with the other monster set off a chain of event that will chang hi new world forever! fuse action adventur comedi fantasi shounen cheat demon isekai kingdom build magic manag modern knowledg monster non-human protagonist overpow main charact person in a strang world polit reincarn rpg slime base on a manga violenc 2018 courseri highrank",4.39
61,My Hero Academia 2,"in a world where eighti percent of the popul ha some kind of super-pow “quirk,” izuku wa unlucki enough to be born complet normal. but that won’t stop him from enrol in a prestigi hero academy. now, the promis freshman class is make it debut at the world-renown u.a. sport festival! it’ quirk versu quirk as our young hero face off in the ultim showdown. kouheihorikoshi action comedi drama sci fi shounen school life superhero superpow tournament weak to strong base on a manga emot abuse, matur themes, physic abuse, violence, domest abus 2017 longseri highrank",4.39
62,Wolf Children,"hana wa a student befor she wa a mother. she wa bright and pretty, and her futur held endless possibilities. then she met a man, who turn out to be a wolf, and togeth they built a family. hana love her mate fiercely, but fate took him from her, leav her alon with two unusu kid she didn’t know how to raise. frighten of be discovered, hana and her wolf children fled to the countrysid to build a new life. rais her littl wild thing wa an adventure. it left hana bruised, scratched, exhausted, and joyous overwhelm as her pup grew stronger and wander further everi day. thi is a mother’ journey. teach your children to chase their dream – and smile through the tear as they disappear into the world in search of who they will become. hana wasn’t alway a mother, but it wa alway what she wa meant to be. mamoruhosoda fantasi slice of life anim characterist anim transform childcar come of age contemporari fantasi countrysid death of a love one famili life lifestyl chang singl parent werewolv origin work nuditi 2012 movi highrank",4.39
63,SK8 the Infinity,"high school student reki and langa are hook on one thing—a dangerous, top secret, no-holds-bar downhil skateboard race call “s.” when reki take langa, a transfer student, to the mountain where “s” is held, langa find himself suck in. these color skater will take you through a thrill stori of skateboard battl and unlimit possibilities! hirokoutsumi comedi sport race origin work emot abuse, matur themes, physic abuse, domest abus 2021 miniseri highrank",4.38
64,Hajime no Ippo: The Fighting!,"ippo makunouchi is a loser. he ha no friends, he spend hi free time help hi mom with work, and he constantli be beaten up by bullies. but that all chang when one day he save from anoth beat by takamura, an up-and-com boxer. soon, ippo turn hi life around with a passion for the newli discov sport, but hi new lifestyl is far from easy! befor he can even dream of becom champion, hell have to overcom a slew of fierc rival and learn what dedic realli means. georgemorikawa action drama shounen sport box hand to hand combat weak to strong base on a manga 2000 longseri highrank",4.38
65,Code Geass: Lelouch of the Rebellion,"in 2010, the britannian empir enslav japan use power mecha known as knightmares; in the aftermath japan wa renam area 11, and it peopl began a hard and terribl existence. lelouch, a britannian student live in area 11, ha grown up hate the empir and everyth it stand for. one day, in the middl of a terrorist attack, lelouch meet a mysteri girl who grant him the abil to control minds. can he use hi new power to fight for freedom, or will hi hatr twist hi good intent into mindless act of vengeance? goroutaniguchi mecha sci fi conspiraci mind game overpow main charact polit psycholog real robot rebellion reveng rivalri royalti secret ident superpow terror origin work nudity, violenc 2006 longseri highrank",4.38
66,JoJo’s Bizarre Adventure: Stardust Crusaders - Battle in Egypt,"after 30 day of travel across the world, plagu with countless battles, jotaro and hi companion have final arriv in egypt! now onli the strongest stand user remain to rebuff our hero final march on cairo: the nine egyptian gods, dio most zealou servants. will the joestar line fall to the monstrou vampire, or can jotaro defeat dio and save hi mother life? hirohikoaraki action adventur comedi shounen monster-of-the-week proxi battl supernatur base on a manga anim abuse, explicit violence, matur theme 2015 courseri highrank",4.37
