Rank,Name,Episodes,Tags,Rating
863,The Story of Saiunkoku,longseries,"in an ancient and mythological land called saiunkoku, the people have begun to recover from a period of war and famine; thus, when an official from the imperial court offers the impoverished and beautiful shuurei more money than she could ever dream of in return for a favor, she jumps at the chance. what she doesn’t count on, however, is being asked to become a concubine to the recluse emperor and help him transform into a better leader. what’s more, the emperor shows little intelligence, seems to have no interest in ruling, and is rumored to prefer men. one thing’s for certain: shuurei has her work cut out for her! saiyukino drama fantasy reverse harem romance shoujo political royalty social gap based on a light novel 2006",4.01
864,"So I'm a Spider, So What?",courseries,"i, the protagonist, was just an ordinary high school girl, but suddenly i was reincarnated as a spider monster in a fantasy world. not only that, but i awakened in a dungeon filled with vicious monsters. armed with only my human knowledge and my overwhelming positivity, im forced to use spiderwebs and traps to defeat far stronger monsters just to stay alive... so begins the labyrinth survival story of a girl with incredible mental strength living as one of the lowest-ranked beasts! shinitagaki action adventure fantasy dungeon isekai monsters non-human protagonists reincarnation rpg weak to strong based on a light novel violence 2021",4.01
865,Mobile Suit Gundam Wing: Endless Waltz,ova,"the year is after colony 196. a year has passed, and peace between earth and the space colonies is still a reality. with no need for weapons in a time without war, the majority of the gundam pilots have decided to destroy their mobile suits by hurling them into the sun. however, one girl by the name of mariemaia khushrenada, daughter of treize khushrenada, threatens this peace. with the help of her grandfather dekim barton, mariemaia has kidnapped relena darlian and plans for total domination. the gundam pilots are the only force standing in mariemaia’s way, but will they be enough to stop her? yasunaoaoki action mecha sci fi outer space 1997",4.01
866,Legend of the Galactic Heroes: Spiral Labyrinth,longseries,"these short stories fill in the background of yang wenli prior to the overture to a new war movie, and continue with the background of reinhard and kircheis where gaiden 1 left off. in these stories, yang becomes the hero of el facile and is given a research investigation of some delicacy, reinhards first assignment to a ship at iserlohn, reinhard deals with a formal duel among the politics of the nobles, reinhards secret mission into free planet territory, and the third tiamat battle, wherein reinhard earns the rank of general at the age of 19. noboruishiguro drama sci fi military outer space political space opera war based on a novel 1999",4.01
867,Golden Kamuy,miniseries,"in the early twentieth century, russo-japanese war veteran saichi “immortal” sugimoto scratches out a meager existence during the postwar gold rush in the wilderness of hokkaido. when he stumbles across a map to a fortune in hidden ainu gold, he sets off on a treacherous quest to find it. but sugimoto is not the only interested party, and everyone who knows about the gold will kill to possess it! faced with the harsh conditions of the northern wilderness, ruthless criminals and rogue japanese soldiers, sugimoto will need all his skills and luck—and the help of an ainu girl named asirpa—to survive. satorunoda adventure drama historical military treasure hunters based on a manga violence 2018",4.01
868,Major 2nd: Second Season,longseries,second season of major 2nd. takuyamitsuda sports baseball based on a manga 2020,4.01
869,Sword Art Online,longseries,"the year is 2022, and gamers have lined up on launch day for sword art online, a hotly-anticipated mmorpg that\xa0lets players connect to an immersive virtual reality\xa0world with special helmets called nerve gear. kirito is one such\xa0gamer whos\xa0eager to jump back into\xa0action, having spent a great deal of time\xa0as a beta tester,\xa0and quickly becomes friends with newbie warrior\xa0klein. but soon, sword art onlines 10,000 players discover that not only are they unable to log out, the only way they can return to their physical bodies is by beating the 100-level towers final boss - that is, if their hp doesnt drop to zero first, for death in the game means death in the real world. now, with no one else to turn to, kirito and the other participants must survive the game as best they can – some forming guilds, others ruthlessly leaving their peers behind, and many tragically falling by the wayside or to the merciless monsters populating the lands... tomohikoitou action adventure fantasy sci fi dungeon high stakes games mmorpg overpowered main characters pve pvp rpg trapped in a video game virtual reality based on a light novel mature themes, physical abuse, sexual abuse, suicide 2012",4.0
870,Your lie in April: Moments,movie,no synopsis yet - check back soon! naoshiarakawa drama shounen music tournaments based on a manga 2015,4.0
871,Kengan Ashura 2,miniseries,"the annihilation tournament rages on: corporate leaders jockey for the kengan chairmanship while their gladiators beat each other bloody in the ring. yabakosandrovich action drama hand to hand combat martial arts tournaments based on a manga cg animation explicit violence, mature themes, physical abuse 2019",4.0
872,Detective Conan,longseries,"shinichi kudo is a famous teenage detective who idolizes sherlock holmes and solves difficult cases with ease. one day, after a fun day at the theme park with his childhood friend ran, shinichi witnesses something suspicious and is knocked unconscious. what’s worse, he’s forced to take a deadly, experimental drug that shrinks his body to the age of seven. to protect himself and his loved ones from those who may want to finish the job, shinichi dons the new name conan edogawa and moves in with ran, whose father is a famous detective, in hopes of closing cases that can lead him to the men in black. but little does shinichi know just how dangerous these men, and their cause, are... goshoaoyama drama mystery shounen age transformation crime detectives episodic police secret identity based on a manga violence 1996",4.0
873,Detective Conan OVA 9: The Stranger of 10 Years,movie,"while lying in bed with a cold, conan receives a phone call from haibara offering him a chance to try the latest prototype antidote to the apotoxin-4869 that turned him into a child. thrilled at the chance to turn back into shinichi kudo once more and surprise his friends at school, conan immediately takes her up on the offer, despite his high fever. after his transformation, conan is amazed at how different the world looks; but after arriving at school he slowly begins to realize that he’s somehow managed to travel forward ten years in time! goshoaoyama shounen age transformation detectives school life time travel based on a manga 2009",4.0
874,The Witcher: Nightmare of the Wolf,movie,"escaping from poverty to become a witcher, vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past. kwangilhan action fantasy dark fantasy korean animation magic medieval monsters based on a novel explicit violence, nudity 2021",4.0
875,"Clannad: Another World, Kyou Chapter",movie,"when ryou confesses her feelings to tomoya he is initially reluctant to accept them, though upon further thought he decides to date her in order get to know her more. as the pair spends more time together ryou is on cloud nine, but when rumors start to circulate about tomoya and kyou, the young girl’s bliss is short-lived. with kyou repressing her feelings for the delinquent teen and sacrificing her own happiness in favor of her twin sister’s, tomoya finds himself at the center of a complicated love triangle; but which girl has won his heart? junmaeda drama romance based on a visual novel 2009",4.0
876,Tsukigakirei,miniseries,"it’s the third year of middle school. kotaro, a bookish boy aspiring to become a novelist, and akane, a track girl who loves to run, meet in the same class together for the first time. they’re put in charge of the equipment for the sports festival, and slowly grow closer via line. how does kotaro deal with his growing feelings for her? meanwhile, takumi has been in love with akane since first year, and akane’s friend, chinatsu, becomes interested in kotaro. a refreshing story of young love set in kawagoe. loundraw romance coming of age iyashikei love triangle school life original work 2017",4.0
877,Radiant 2nd Season,courseries,"seth, mélie, and doc encounter new allies in caislean merlin—the stronghold of the knights-sorcerers, a group that is also after the monster called némésis. but caislean merlin is plagued by the spectrum némésis, mysterious beings that are rumored to be harbingers of catastrophe. will seth be able to discover the secret behind this new form of némésis? his adventure accelerates with the addition of ocoho, a girl who hopes to become a knight-sorcerer, a farewell with mélie and doc, and a clash with the malicious merchant-barons! and all this with the inquisition still at his heels! seijikishi action adventure fantasy based on a manga 2019",4.0
878,My Senpai is Annoying,miniseries,"my name is futaba igarashi, and my senpai, takeda-san, is annoying. hes big, loud, always in the way, and treats me like a child because hes so tall and im so short. but hes also kind, caring, and willing to go above and beyond for me. for example, he stopped some pervert from filming up my skirt when we took the train together, gave me a drink when i was pulling a long shift, and even came over to my place when i was cooped up with a cold. what gives?! if he keeps acting like this, people are going to think were dating or something...! shiromanta comedy romance seinen adult couples coworkers iyashikei mature romance romantic comedy salaryman work life based on a manga 2021",4.0
879,Dragon Ball,longseries,"a mysterious monkey-tailed boy named goku teams up with a teenage computer-wiz girl named bulma to search for the mystic dragon balls. according to legend, whoever collects all 7 dragon balls will have any one wish granted. join goku in this hilarious anime masterpiece, as he races and battles to save the world from the forces of darkness. who will find the balls first? akiratoriyama action adventure comedy shounen journey to the west martial arts overpowered main characters based on a manga nudity 1986",4.0
880,My Hero Academia: Make It! Do-or-Die Survival Training,ova,"in this brand-new adventure, some class 1-a students are sent to hone their survival skills at a training course. having yet to receive their provisional licenses, they’re eager to cut loose and have a little fun. they quickly discover that the danger they face is no simulation! it’s going to take their combined training, teamwork, and quick thinking if they’re going to pass this assignment! kouheihorikoshi action sci fi shounen superheroes superpowers based on a manga 2020",4.0
881,Slayers Try,longseries,"join flat-chested mighty sorceress lina inverse and her companions once again, as they explore the rest of a newly-accessible world that was previously hidden behind a magic barrier. xellos and his mysterious ulterior motives are back in the fray along with their new friend, filia, a golden dragon from the new world who brings word of an evil prophecy. can lina and her party fight against this prophecy that promises the destruction of their world? takashiwatanabe action adventure fantasy medieval based on a light novel 1997",4.0
882,Shouwa Genroku Rakugo Shinjuu OVA,ova,"when a small-time crook is released from prison, he is determined to turn his life around by apprenticing himself to the great\xa0rakugo\xa0master yakumo viii, inspired\xa0by his performance of shinigami during his incarceration. surprisingly, the old man agrees to train him and brings his new apprentice to his own house to live, giving him the name yotaro, a classical word used in\xa0rakugo\xa0meaning fool. yakumo has much to teach about the art of rakugo, but both he and his ward konatsu- a hot-headed young woman whose father was also a famous storyteller- are difficult people with a shared dark past. yakumo refuses to train her, claiming that the world of\xa0rakugo\xa0is no place for women, and konatsu has vowed to kill him, claiming that yakumo murdered her father! harukokumota drama josei apprenticeship historical lifestyle change rakugo based on a manga 2015",4.0
883,Code Geass: Lelouch of the Rebellion II - Transgression,movie,no synopsis yet - check back soon! clamp mecha sci fi real robot secret identity terrorism original work violence 2018,4.0
884,Hitorijime My Hero,miniseries,"high schooler masahiro setagawa is a fairly helpless delinquent, so much so that the neighborhood bullies use him to run their errands. his life changes when he meets high school teacher kosuke oshiba, a man whose fighting abilities have earned him a powerful reputation on the streets. oshiba finds himself with a desire to protect setagawa, and despite swearing that hes not interested in men, setagawa finds himself getting more involved in oshibas affairs… memekoarii bl comedy drama romance shounen-ai lgbt themes school life student-teacher relationship based on a manga 2017",4.0
885,Bleach,longseries,"fifteen-year-old ichigo kurosaki is a typical teen with fighting skills, two caring sisters and a special trait: he can see ghosts. however, when ichigo and his family find themselves under attack by a huge beast, ichigo discovers that there’s more to the supernatural world than the everyday specter. vengeful spirits known as hollows roam the world in search of devouring souls, and shinigami – soul reapers – work tirelessly to defeat them and\xa0guide normal ghosts into a place called soul society. ichigo valiantly fights the hollow that threatens his sisters, but on the verge of defeat a shinigami named rukia gives him her powers, turning him into a shinigami himself. ichigo must now adjust to his new life of both vanquishing and saving souls for the sake of soul society. titekubo action shounen afterlife shinigami supernatural superpowers swordplay based on a manga violence 2004",4.0
886,Hikaru no Go: Journey to the North Star Cup,movie,"hikaru shindou had just settled into the life of being a professional go player when he received news of the north star cup – a special team competition between the young pros of japan, china, and korea. with his rival akira touya having already been guaranteed one of the three japanese spots, hikaru must battle his way through a qualifying tournament to become one of the other two representatives. but fellow young guns waya and ochi, along with a mysterious youth from the kansai region, arent backing down without a fight. with both familiar faces and new rivals standing in his way, this may be hikarus toughest test yet! yumihotta shounen board games ghosts supernatural tournaments based on a manga 2004",4.0
887,K-On!!: Plan!,movie,"when mugi gives the girls some souvenirs from one of her trips abroad, the members of the light music club decide that what they all need is their own trip overseas. having just returned from the summer festival and with college entrance exams looming, the gang decides that the best thing to do is to wait and have their trip after graduation as a special retreat for the whole club. with the prospect of something to look forward to, yui, mio and the others all begin excitedly planning their vacation, but first they need to sort out their passports and decide on somewhere to go. kakifly comedy seinen slice of life based on a 4-koma manga based on a manga 2011",4.0
888,Pokemon: GOTCHA!,movie,no synopsis yet - check back soon! riematsumoto adventure fantasy monsters based on a video game 2020,4.0
889,Wushang Shen Di,longseries,no synopsis yet - check back soon! woniukuangben action fantasy ancient china chinese animation short episodes based on a web novel cg animation 2020,4.0
890,Detective Conan Movie 9: Strategy Above the Depths,movie,"conan and the gang are taking a long needed vacation aboard a luxury liner – paid for by sonoko! their peace and tranquility is interrupted, however, by a string of murders onboard involving vips; and this time, it’s up to mori to take the spotlight to solve the mystery. with the help of conan, the case is closed; but as the suspects are caught, they decide to take the st. aphrodite along with them. now, conan and the gang must escape the cruise ship before it sinks, but there may be more to the mystery than meets the eye... goshoaoyama drama mystery shounen age transformation detectives ocean based on a manga 2005",4.0
891,Tentai Senshi Sunred 2,longseries,"while vamp continues to pose very little threat to the world, sunred is able to maintain his carefree life of beating the living daylights out of florsheim and freeloading off of his girlfriend, kayoko. in the meantime, with the animal soldiers failing to fight off the local bullies and khamenman finally dragging himself into the 21st century by buying himself a car, vamp’s comrades carry on with their mundane day-to-day lives. with more monsters joining the florsheim family, including the amphibious ramen restaurant hobbyist goolgege and a peeled shrimp with tempura issues; vamp expecting an inspection from the mysterious philip; and the pudding empire planning an invasion on earth, it seems that sunred will never be able to live a quiet life! makotokubota comedy seinen gag monsters parody superheroes based on a manga 2009",4.0
892,City Hunter 2,longseries,"the city hunters adventures continue with a complicated case of protecting an up-and-coming young idol from a stalker. normally this would be like letting the fox guard the hen house, but fortunately even an infamous pervert like ryo does not go for minors. but when the same culprit goes after kaori as well, even ryo is shaken. he finally has to get serious, even if his choice of methods is characteristically unorthodox. tsukasahojo action comedy drama shounen episodic guns based on a manga 1988",4.0
893,Hidamari Sketch: Sae & Hiro's Graduation Arc,ova,sae and hiro graduate from yamabuki art high school and say goodbye to the hidamari apartments. umeaoki seinen slice of life art art school boarding house neighbors school life based on a 4-koma manga based on a manga 2013,4.0
894,Broken Blade Movie 1: The Time of Awakening,movie,"the inhabitants of cruzon have the ability to control quartz. technology based on this power allows them to perform many tasks, such as pilot mobile suits called golems. arrow is an un-sorcerer, an individual who is unable to levitate even the smallest crystal. he receives a letter from the current king stating that an ancient golem has been found in a mining shaft. no one has been able to move it, and queen sigyn suspects that an un-sorcerer might be the key to activate it in broken blade! yunosukeyoshinaga action fantasy mecha magic military war 2010",4.0
895,Emma: A Victorian Romance - Second Act,miniseries,"emma is working as a maid in the countryside, immersed in chores and grief; for her love, william, is engaged to a woman he does not love but whose family name will finally bring the jouneses the status they have always craved. resigned to their individual fates, the feelings that blossomed between them in london are seemingly a thing of the past. however, love does not rest so easily. emma and william soon find themselves thrown together by chance. once again they must make painful choices – love or prestige, passion or restraint – but this time so much more is at stake... kaorumori drama romance seinen 19th century adult couples england europe historical maids mature romance social gap work life based on a manga 2007",4.0
896,Full Metal Panic! The Second Raid: A Relatively Leisurely Day in the Life of a Fleet Captain,movie,"the always-busy teletha, the captain mithrils tuatha de dannan, finally has a day off. instead of resting and relaxing, though, she has been tricked into getting drunk with melissa! to make matters worse, she then wanders around half-naked and bumps into the clueless sousuke. struggling to remember what she did on the previous day, she must regain her memories and save her stuffed bonta-kun at all cost! yasuhirotakemoto comedy shounen military submarine tsundere 2006",4.0
897,Planetarian Movie: Hoshi no Hito,movie,"in the future after much of the world has been devastated by nuclear and biological warfare, a young scavenger or junker exploring a quarantined and abandoned city comes across a service robot still faithfully awaiting customers in the rooftop planetarium of a department store. against his pragmatic instincts he helps the robot repair the planetariums projector: a decision which will change both their fates. katsuichinakayama sci fi androids astronomy dystopia non-human protagonists post-apocalyptic robots based on a visual novel 2016",4.0
898,Shadows House,miniseries,"high atop a cliff sits the mansion known as shadows house, home to a faceless clan that pretends to live like nobles. they express their emotions through living dolls that also endlessly clean the home of soot. one such servant, emilico, aids her master kate as they learn more about themselves and the mysteries of the house. somato drama horror seinen mansion supernatural based on a manga 2021",4.0
899,The Tibetan Dog,movie,"after the death of his mother, ten-year-old tianjin moves from the city of xian to rural tibet to live with his estranged father, lageba. but becoming accustomed to the strange customs, relentless wilderness, and bullying neighbors of his new home on the steppe proves more difficult than expected. worse yet, the boys father is absolutely devoted to his job as a doctor, and hardly pays any attention to his struggling son, instead demanding that he spend his days herding the familys flock of sheep. one day, while being ignored as usual by the sheep hes attempting to herd, tianjin is attacked by an enormous bear, which is chased off in the nick of time by a mysterious golden dog. though cautious by nature, the tibetan mastiff warms to the lonely boy, and the two develop an intense friendship. masayukikojima drama countryside dogs family friendly pets original work 2011",4.0
900,Okko's Inn Movie,movie,"after losing her parents in a car accident, okko goes to live in the countryside with her grandmother, who runs a traditional japanese inn built on top of an ancient spring said to have healing waters. while she goes about her chores and prepares to become the inn’s next caretaker, okko discovers there are spirits who live there that only she can see – not scary ones, but welcoming ghosts who keep her company, play games and help her navigate her new environment. the inn’s motto is that it welcomes all and will reject none, and this is soon put to the test as a string of new guests challenge okko’s ability to be a gracious host. kitaroukousaka countryside hotels and inns lifestyle change orphans supernatural based on a light novel 2018",4.0
901,ID:INVADED,miniseries,"sakaido was a famous and very talented detective until the day his daughter was killed, and he committed revenge! now in jail, he uses his skills to help the police find criminals of cold-blooded crimes through a system that allows him to invade a criminal’s “id.” but he’ll soon find clues that bring back his daughter’s case! eiaoki mystery sci fi detectives psychological psychopaths serial killers thriller original work explicit violence, mature themes, suicide 2020",1.0
902,GaoGaiGar Final,ova,"with the 31 primevals defeated and their sinister plan to zonderise the universe thwarted, it seems humanity is finally safe from alien evil-doers. in this time of inter-stellar peace, the gutsy galaxy guard is battling the crime syndicate bionet and their mysterious q-parts technology until mamoru, son of cain, suddenly returns to earth! things become confusing, however, when mamoru attacks the ggg orbital base and steals their acquired q-parts. why is mamoru now fighting against his old friends? and could a new, even more powerful alien threat be behind all this? yoshitomoyonetani action adventure mecha sci fi aliens combining mecha cyborgs superpowers transforming mecha original work 2000",1.0
903,The Prince of Tennis II,miniseries,"middle school students fought fiercely against one another in a national tournament. now, 50 chosen representatives return to fight again as high school students! the stage is the u-17 (under seventeen) japanese representative training camp. middle school students have been invited for the first time to a camp known to produce the best japanese tennis players. national champions from seigaku, hyotei, rikkai, shitenhoji... with all the rivals from the national tournament attending, everyone eagerly awaits their reunion. at first, the middle schoolers do not expect much from their high school opponents. however, the training camp is not so easy! athletes with skills incomparable to those they previously faced and their mysterious coach appear before them. faced with numerous demanding challenges, can the middle schoolers survive in this meritocratic training camp? cheruwatanabe shounen sports tennis based on a manga 2012",1.0
904,Hanasaku Iroha,longseries,"ohana matsumae is a sixteen-year-old girl with no purpose or direction in life. one day, however, she gets the chance to reinvent herself when her mother and her boyfriend do a moonlight flit to escape his debts. left alone, ohana goes to live with her estranged grandmother, but when she arrives she finds herself forced to work at the family’s hot spring resort, the kissuiso inn. with her grandmother considering her nothing more than an employee and a roommate who hates her, ohana’s happy dream of a new life soon turns into a nightmare. now the wide-eyed girl must learn the value of hard work as she attempts to make friends and familiarise herself with life at the resort. masahiroandou drama romance slice of life coming of age countryside coworkers hotels and inns lifestyle change work life original work mature themes, physical abuse, domestic abuse 2011",1.0
905,Ashita no Joe 2,movie,"six\xa0months have passed since joe yabuki accidentally killed his rival, rikiishi, in the ring. with no contact since then, the members of the shiraki gym have been worried; that is, until joe returns - but hes not the same. haunted by memories of his past, joe finds himself unable to hit his opponents face - a weakness that costs him many losses. with lost confidence, it will take one special opponent to pull joe out of his funk and get him back on his way to becoming a champion! osamudezaki drama shounen sports boxing hand to hand combat based on a manga 1980",1.0
906,Backflip!!,miniseries,"shoutarou futaba is fascinated by gymnastics after seeing it in his third year of middle school, and joins the rhythmic gymnastics team of his new high school soushuukan high school, nicknamed ao high. he makes a friend with his schoolmate ryouya misato, who earned fame for as a gymnast during middle school. enpitsuyotsugi sports boarding house gymnastics noitamina school club school life original work 2021",3.99
908,One Piece: Episode of Luffy - Hand Island no Bouken,movie,"when luffy and the crew were attacked by several marine warships they are forced to use coup de burst to escape. crash landing on an island, the crew decide to explore while repairs occur. upon meeting an wax artisan and learning the truth behind the island, luffy offers his help. eiichirooda action adventure fantasy shounen island pirates superpowers based on a manga 2012",3.99
910,Fate/Kaleid Liner Prisma Illya Movie: Vow in the Snow,movie,"despite his adoptive fathers warnings that the girl found in the remnants of a destroyed city is too dangerous to be considered anything other than a tool or weapon, shiro emiya comes to treat miyu as a younger sister. but when shiro relaxes his guard and miyu starts normal school, the ainsworth family and their agents swoop in, kidnapping the girl with the goal of sacrificing her! faced with the realization that miyus ability to do good will always be equaled by her capacity for destruction, shiro must attempt to both rescue his adopted sister, and decide how to confront the threat that her powers will always pose. hiroshihiroyama action fantasy shounen contemporary fantasy magic superpowers urban fantasy based on a manga violence 2017",3.99
911,Fruits Basket,longseries,"tohru honda is a compassionate girl who is down on her luck. her mother having recently died, she has been forced to camp out in the woods for shelter. however, things start to turn around once she is invited to live with class hunk yuki sohma and his family... but all is not as it seems! yukis family is burdened with a dark curse which causes them to turn into the animals of the chinese zodiac once hugged by a member of the opposite sex... and honda may be the only one who can help them. natsukitakaya comedy drama fantasy romance shoujo animal transformation contemporary fantasy curse death of a loved one dysfunctional families love triangle orphans roommates based on a manga 2001",3.99
912,Dou Po Cangqiong,miniseries,"in a land where no magic is present. a land where the strong makes the rules and weak has to obey. a land filled with alluring treasures and beauty yet also filled with unforeseen danger. xiao yan, who has shown talents none had seen in decades, suddenly three years ago lost everything, his powers, his reputation, and his promise to his mother. what sorcery has caused him to lose all of his powers? and why has his fiancee suddenly shown up? silkwormpotato action fantasy chinese animation xianxia based on a web novel cg animation 2017",3.99
913,Vampire Hunter D: Bloodlust,movie,"in the distant future, the world lies in ruin and vampires rule the land. mercenary vampire hunters fight the terrible forces of darkness - for a price; the most notorious of them all being the half-vampire named d. however, despite his actions that help humanity, he finds himself shunned by those he would save. when a girl named charlotte is kidnapped by the vampire lord meier, her father hires d to bring her back - dead or alive. competing with the vampire hunting marcus brothers for the prize, d encounters meier first; but in the middle of their confrontation, charlotte calls out meiers name in worry and meier reveals that she is accompanying him of her own free will... yoshiakikawajiri action adventure mercenaries non-human protagonists post-apocalyptic star-crossed lovers vampires based on a novel explicit violence, nudity 2000",3.99
914,Pretty Guardian Sailor Moon Crystal (2016),miniseries,"when new villains known as the death busters arrive to threaten earth, two new sailor guardians also appear: sailor uranus and sailor neptune. they are very different from sailor moon and her friends and they claim to have no interest in working cooperatively with them to\xa0defeat the threat. meanwhile, chibi-usa\xa0has befriended a sickly girl named hotaru who has an amazing power to heal others. although she is very kind and gentle, for some reason sailor uranus and sailor neptune are both determined to make sure that hotaru dies! naokotakeuchi action fantasy magical girl romance shoujo contemporary fantasy elemental powers henshin heroes magic reincarnation sentai tokusatsu urban fantasy based on a manga 2016",3.99
916,Bloom Into You,miniseries,"yuu has always loved shoujo manga and awaits the day she gets a love confession that sends her heart aflutter with bubbles and hearts, and yet when a junior high classmate confesses his feelings to her...she feels nothing. disappointed and confused, yuu enters high school still unsure how to respond. thats when yuu sees the beautiful student council president nanami turn down a suitor with such maturity that shes inspired to ask her for help. but when the next person to confess to yuu is nanami herself, has her shoujo romance finally begun? nionakatani drama gl romance shoujo-ai shounen lgbt themes love triangle school life senpai-kouhai relationship student council based on a manga 2018",3.99
917,Xingchen Bian 3rd Season,miniseries,the third season of\xa0xingchen bian. ieattomatoes action fantasy chinese animation xianxia based on a web novel cg animation 2021,3.99
918,91 Days,miniseries,"during prohibition, the law held no power and the mafia ruled the town. the story takes place in lawless, a town thriving on black market sales of illicitly brewed liquor. one day, avilio receives a letter from a mysterious sender, prompting him to return to lawless for revenge. he then infiltrates the vanetti family, the ones responsible for his familys murder, and sets about befriending the dons son, nero, to set his vengeance in motion. killing brings more killing, and revenge spawns more revenge. how will the 91-day story of these men guided by a tragic fate end? hirokaburagi drama america animeism crime criminals death of a loved one gangs guns historical mafia revenge thriller original work explicit violence, mature themes, physical abuse, sexual content 2016",3.99
919,Rakshasa Street,courseries,"requiem street, where evil spirits are attracted to in order to destroy them. a place where spirits and humans co-exist, not all humans can enter requiem street. only those rare-soul users with guardian spirits can enter. xia ling\xa0was just a normal university intern, but a meeting by chance changes her ordinary life... in this world full of evil spirits, can you cooperate with your guardian spirit in order to survive? chenxu action chinese animation supernatural based on a manga 2016",3.99
920,Seitokai Yakuindomo OVA,ova,it is the start of takatoshi tsudas second year as the put-upon vice president of the student council and his sister kotomi is entering school as a first year. new friends and double entendres are made. tozenujiie comedy shounen crude newly co-ed school parody school life student council based on a 4-koma manga based on a manga sexual content 2011,3.99
921,Detective Conan Movie 24: The Scarlet Bullet,movie,"japan is celebrating the upcoming world sports games, the world\s largest sporting event, in tokyo. the japanese bullet, the world\s first vacuum-tube super-conducting linear train, is built with the latest japanese technology and timed to coincide with the wsg opening ceremonies. the train is set to run from shin nagoya station to tokyo station at up to 1,000 kilometers per hour. however, a bizarre incident occurs during a party held by famous major sponsors, leading to a string of kidnappings of top executives. conan deduces a possible link to serial abductions in the wsg 15 years earlier in boston. goshoaoyama mystery shounen detectives based on a manga 2021",3.99
922,Drifters: Special Edition,movie,an edited version of the first and second episodes of the drifters tv series. koutahirano action seinen historical person in a strange world rebellions samurai based on a manga explicit violence 2016,3.99
923,Attack on Titan Movie 2: The Wings of Freedom,movie,"a compilation film, recapping the first season of attack on titan. hajimeisayama action fantasy horror shounen dark fantasy isolated society military outside world overpowered main characters post-apocalyptic recap based on a manga cannibalism, violence 2015",3.99
924,City Hunter 3,miniseries,"famed sweeper ryo saebas back on the streets of shinjuku, keeping the streets safe from the dregs of humanity. with his long-suffering partner kaori by his side, ryo faces down his greatest challenges yet in ten all-new adventures. the stakes are high, the action is tense, and kaoris hammer is mighty, as ryo attempts to bring justice (and maybe find a little mokkori) in this mad, mad world. tsukasahojo action comedy drama shounen episodic guns based on a manga 1989",3.99
925,Blast of Tempest,courseries,"hakaze, princess of the kusaribe mage clan, has been betrayed and marooned on an island by her own people. they seek to revive the tree of exodus, an incomprehensibly powerful entity of alien origin, to save the world from the tyranny of its antithesis: the tree of genesis that powers their magic. hakaze, however, believes their efforts put humanity in jeopardy; and with her power limited, she can only reach out to the world to beg for aid. her call reaches mahiro fuwa, a young man grieving the mysterious death of his sister, aika. he and his friend yoshino agree to help - on the condition that hakaze track down aikas killer with her magic. the deal is made, and the battle that will determine civilizations fate is begun: but who will play the part of its villain, and who its savior? kyoushirodaira adventure drama mystery romance shounen animeism conspiracy island magic revenge based on a manga 2012",3.99
926,Blue Exorcist Movie,movie,"when his adopted father, shiro fujimoto was killed by his biological father, satan, rin okumura swore to become an exorcist to avenge shiro\s death declaring war on his own blood-relatives of the underworld…everyone is in the midst of preparing for a festival which is celebrated once every 11 years in true cross academy town. however behind the scenes in the shadows, a phantom train goes berserk while the barriers protecting the town from demon intrusions were under repair. rin, yukio, and shiemi are sent to exorcise the phantom train, but as usual rin complicates the situation. among all of the chaos, rin meets a demon in the form of a young boy. meanwhile, cheng-long liu, a senior exorcist first class from the taiwan branch joins shura in the repair operation and the story takes an unexpected turn as all their fates cross. kazuekatou action fantasy shounen contemporary fantasy demons exorcists supernatural urban fantasy based on a manga 2012",3.99
927,Digimon Adventure Tri. Movie 3: Confession,movie,part 3 of the digimon adventure tri. movie series. keitaroumotonaga action drama sci fi monsters 2016,3.99
928,Seraph of the End,miniseries,"after a catastrophic epidemic kills every adult on earth, vampires\xa0arise from the shadows to enslave the remaining human population.\xa0yuichiro and his friends are kept as vampire fodder in a creepy\xa0underground city. yuichiro dreams of one day fighting back, and the\xa0first step is staging a daring escape from their vampire overlords... takayakagami action drama horror shounen demons pandemic post-apocalyptic supernatural vampires based on a manga violence 2015",3.99
929,Yuan Long,courseries,no synopsis yet - check back soon! renyuan action adventure fantasy chinese animation based on a web novel cg animation 2020,3.99
931,Hetalia: The Beautiful World,courseries,"they said it couldnt happen, but they were as wrong as a stack of pancakes in a cage full of bears! the adorable boys of hetalia are back with some new friends and a super sparkly new look.whats more fun than germany squatting in a dandelion patch? how about the axis boys joining the witchcraft club? or maybe russia suffering through a traumatic hamster flashback? any way you slice the spaghetti, every cute boy enjoys a little quality bath time, and turkey and greece cant wait to start splishing and splashing! belgium throws a mouthwatering waffle party, and america shows off his sweet dance moves! and when santa claus goes missing, canada (whos that?) tries to replace him with a polar bear! a polar bear!? hidekazhimaruya comedy anthropomorphic chibi gag historical parody political satire short episodes based on a manga 2013",3.99
932,The Royal Tutor,miniseries,"the royal tutor is a special tutor carefully selected for the task of teaching the prince, and a title given only to the best teacher in the nation. heine wittgenstein has been called to the kingdom of grannzreich to take on the role of the royal tutor. he\s been ordered to raise a worthy candidate for the throne, but he\s greeted with four princes of completely different, unique personalities... all brothers, no less! how will heine handle these four brothers who were too much for all the previous royal tutors, prompting them all to run away from the job? higasaakai comedy shounen chibi historical royalty siblings teaching tutors based on a manga mature themes, physical abuse 2017",3.99
