Rank,Name,Episodes,Tags,Rating
18,Heaven Official's Blessing Special,movie,no synopsis yet - check back soon! moxiangtongxiu bl romance shounen-ai afterlife ancient china chinese animation demon king ghosts gods interspecies relationship non-human protagonists opposites attract royalty supernatural xianxia based on a web novel 2021,4.5
19,That Time I Got Reincarnated as a Slime Season 2,miniseries,"with the help of queen ramiris, the children are now in stable condition and should lead normal lives, much to rimuru’s relief. but all is not well… in fact, there are forces of humankind in this fantasy world that do not look kindly upon a slime-led nation of monsters. and now, insidious threats to rimuru and the country of tempest may be lurking around every corner! fuse action adventure fantasy shounen cheats demons isekai kingdom building magic management modern knowledge monsters person in a strange world political reincarnation rpg slimes based on a manga 2021",4.48
20,Given,miniseries,"somehow, the guitar that he used to love to play and the basketball games that he found so fun just lost their appeal... that was until ritsuka uenoyama randomly met mafuyu sato. ritsuka had started losing his passion for music in his everyday life, but then he hears mafuyu sing for the first time. the song resonates with his heart and the distance between them starts to change. natsukikizu bl drama romance shounen-ai death of a loved one music noitamina based on a manga mature themes, suicide 2019",4.48
21,Code Geass: Lelouch of the Rebellion R2,longseries,"area 11 is still under britannian rule and the elevens remain brutally oppressed; what’s more, their saviour, zero, is nowhere to be found and all of britannia believes the rebellion is finally over. elsewhere, having lost the battle, lelouch sets his sights upon winning the war – but the task is no easier since the britannian forces have learned some valuable lessons all of their own. not only have they discovered his identity and captured many of his black knights, but they now manipulate the memories of all of his friends. worst of all, they have taken the most precious thing in his life – his dear sister, nunnally. with his hatred for the britannians stronger than ever before, lelouch must now recuperate his forces and bring their rule of terror to an end. goroutaniguchi mecha sci fi conspiracy mind games overpowered main characters political psychological real robot rebellions rivalries royalty secret identity superpowers terrorism original work 2008",4.47
22,Mo Dao Zu Shi 2,ova,the second season of mo dao zu shi. moxiangtongxiu action fantasy mystery ancient china chinese animation cultivation historical martial arts overpowered main characters supernatural swordplay war xianxia zombies based on a web novel violence 2019,4.46
23,Gintama: The Very Final,movie,"this is the actual ending.\xa0the countdown to destruction has begun! all will join to reclaim an edo in grave peril! earth is facing its darkest days, and the members of the odd jobs must come together to save it from an otherworldly menace. old allies gintoki, takasugi, and katsura strive their hardest for their own ideals, but standing in their way is someone with whom they share a sad history: utsuro, an alternate personality of their former teacher and mentor, shoyu. having been spawned by altana, the energy that fuels all planets, this immortal fiend has regenerated multiple times until finally becoming utsuro, the ultimate enemy... and he intends to take down the entire world in order to end his own life.\xa0gintoki and the others set out to fulfill the wishes of their teacher shoyo and thwart utsuros plans. shinpachi, kagura, the shinsengumi, members of the kabuki district, and even former enemies will join their fight. as utsuros power grows, takasugi fights for his very life. will gintoki be able to put an end to all this?! hideakisorachi action comedy drama sci fi shounen aliens feudal japan gag parody samurai swordplay based on a manga violence 2021",4.46
24,Link Click,miniseries,"using superpowers to enter their clientele’s photos one by one, cheng xiaoshi and lu guang take their work seriously at “time photo studio,” a small photography shop set in the backdrop of a modern metropolis. each job can be full of danger, but nothing is more important than fulfilling every order, no matter the scale…or peril involved! lihaoling drama fantasy chinese animation contemporary fantasy superpowers time travel urban fantasy original work violence 2021",4.46
25,Mob Psycho 100 II,miniseries,second season of mob psycho 100. one action comedy exorcists psychic powers psychological school life supernatural superpowers based on a manga violence 2019,4.46
26,Haikyuu!! To the Top,miniseries,"the karasuno high school volleyball club finally won their way into the nationals after an intense battle for the miyagi prefecture spring tournament qualifiers.\xa0as they were preparing for the nationals, kageyama is invited to go to all-japan youth training camp. at the same time, tsukishima is invited to go to a special rookie select training camp for first-years in miyagi prefecture. hinata feels panic that he’s being left behind as one of the first-years and then decides to show up at the miyagi prefecture rookie select training camp anyway...\xa0as they prepare for the nationals, hinata, kageyama and the rest of the karasuno high school volleyball team get ready to face some new challenges!! haruichifurudate shounen sports animeism school club tournaments volleyball based on a manga 2020",4.46
27,Fruits Basket 2nd Season,longseries,"second season of fruits basket. natsukitakaya comedy drama fantasy romance shoujo animal transformation contemporary fantasy curse dysfunctional families love triangle mental illness orphans based on a manga bullying, emotional abuse, mature themes, physical abuse, domestic abuse 2020",4.45
