Rank,Name,Tags,Rating
17,Haikyuu!! To the Top: Part II,continu of haikyuu!! to the top. haruichifurud shounen sport anim school club tournament volleybal base on a manga 2020 miniseri highestrank,4.5
18,Heaven Official's Blessing Special,no synopsi yet - check back soon! moxiangtongxiu bl romanc shounen-ai afterlif ancient china chines anim demon king ghost god interspeci relationship non-human protagonist opposit attract royalti supernatur xianxia base on a web novel 2021 movi highestrank,4.5
19,That Time I Got Reincarnated as a Slime Season 2,"with the help of queen ramiris, the children are now in stabl condit and should lead normal lives, much to rimuru’ relief. but all is not well… in fact, there are forc of humankind in thi fantasi world that do not look kindli upon a slime-l nation of monsters. and now, insidi threat to rimuru and the countri of tempest may be lurk around everi corner! fuse action adventur fantasi shounen cheat demon isekai kingdom build magic manag modern knowledg monster person in a strang world polit reincarn rpg slime base on a manga 2021 miniseri highrank",4.48
20,Given,"somehow, the guitar that he use to love to play and the basketbal game that he found so fun just lost their appeal... that wa until ritsuka uenoyama randomli met mafuyu sato. ritsuka had start lose hi passion for music in hi everyday life, but then he hear mafuyu sing for the first time. the song reson with hi heart and the distanc between them start to change. natsukikizu bl drama romanc shounen-ai death of a love one music noitamina base on a manga matur themes, suicid 2019 miniseri highrank",4.48
21,Code Geass: Lelouch of the Rebellion R2,"area 11 is still under britannian rule and the eleven remain brutal oppressed; what’ more, their saviour, zero, is nowher to be found and all of britannia believ the rebellion is final over. elsewhere, have lost the battle, lelouch set hi sight upon win the war – but the task is no easier sinc the britannian forc have learn some valuabl lesson all of their own. not onli have they discov hi ident and captur mani of hi black knights, but they now manipul the memori of all of hi friends. worst of all, they have taken the most preciou thing in hi life – hi dear sister, nunnally. with hi hatr for the britannian stronger than ever before, lelouch must now recuper hi forc and bring their rule of terror to an end. goroutaniguchi mecha sci fi conspiraci mind game overpow main charact polit psycholog real robot rebellion rivalri royalti secret ident superpow terror origin work 2008 longseri highrank",4.47
22,Mo Dao Zu Shi 2,the second season of mo dao zu shi. moxiangtongxiu action fantasi mysteri ancient china chines anim cultiv histor martial art overpow main charact supernatur swordplay war xianxia zombi base on a web novel violenc 2019 ova highrank,4.46
23,Gintama: The Very Final,"thi is the actual ending.\xa0th countdown to destruct ha begun! all will join to reclaim an edo in grave peril! earth is face it darkest days, and the member of the odd job must come togeth to save it from an otherworldli menace. old alli gintoki, takasugi, and katsura strive their hardest for their own ideals, but stand in their way is someon with whom they share a sad history: utsuro, an altern person of their former teacher and mentor, shoyu. have been spawn by altana, the energi that fuel all planets, thi immort fiend ha regener multipl time until final becom utsuro, the ultim enemy... and he intend to take down the entir world in order to end hi own life.\xa0gintoki and the other set out to fulfil the wish of their teacher shoyo and thwart utsuro plans. shinpachi, kagura, the shinsengumi, member of the kabuki district, and even former enemi will join their fight. as utsuro power grows, takasugi fight for hi veri life. will gintoki be abl to put an end to all this?! hideakisorachi action comedi drama sci fi shounen alien feudal japan gag parodi samurai swordplay base on a manga violenc 2021 movi highrank",4.46
24,Link Click,"use superpow to enter their clientele’ photo one by one, cheng xiaoshi and lu guang take their work serious at “time photo studio,” a small photographi shop set in the backdrop of a modern metropolis. each job can be full of danger, but noth is more import than fulfil everi order, no matter the scale…or peril involved! lihaol drama fantasi chines anim contemporari fantasi superpow time travel urban fantasi origin work violenc 2021 miniseri highrank",4.46
25,Mob Psycho 100 II,second season of mob psycho 100. one action comedi exorcist psychic power psycholog school life supernatur superpow base on a manga violenc 2019 miniseri highrank,4.46
26,Haikyuu!! To the Top,"the karasuno high school volleybal club final won their way into the nation after an intens battl for the miyagi prefectur spring tournament qualifiers.\xa0a they were prepar for the nationals, kageyama is invit to go to all-japan youth train camp. at the same time, tsukishima is invit to go to a special rooki select train camp for first-year in miyagi prefecture. hinata feel panic that he’ be left behind as one of the first-year and then decid to show up at the miyagi prefectur rooki select train camp anyway...\xa0a they prepar for the nationals, hinata, kageyama and the rest of the karasuno high school volleybal team get readi to face some new challenges!! haruichifurud shounen sport anim school club tournament volleybal base on a manga 2020 miniseri highrank",4.46
27,Fruits Basket 2nd Season,"second season of fruit basket. natsukitakaya comedi drama fantasi romanc shoujo anim transform contemporari fantasi curs dysfunct famili love triangl mental ill orphan base on a manga bullying, emot abuse, matur themes, physic abuse, domest abus 2020 longseri highrank",4.45
28,The Promised Neverland,"emma, norman, ray, and mani other sibl live at an isol orphanag cut off from the outsid world. they live a charm life surround by friend and watch over by mama, their caretaker, until they leav the hous for a foster famili by the age of twelve. the onli rule is that they must never ventur outsid of the gate that isol them from the rest of society, for danger await. but one day, the children learn the true horror of what\ in store for their short lives... kaiushirai fantasi horror mysteri sci fi shounen dark fantasi isol societi mind game noitamina orphan outsid world psycholog thriller base on a manga matur themes, domest abuse, self-harm 2019 miniseri highrank",4.45
29,Spirited Away,"chihiro and her famili are on their way to their new home, when they discov an abandon amus park. after chihiro famili mysteri turn into pigs, she is thrown into a surreal world of magic and fantasy. join her as she struggl to surviv in the bathhous of the gods, rule by an evil witch who ha stolen not onli her name, but her way back to the real world. hayaomiyazaki adventur fantasi curs famili friendli japanes mytholog magic person in a strang world youkai origin work 2001 movi highrank",4.45
30,That Time I Got Reincarnated as a Slime Season 2: Part II,continu of that time i got reincarn as a slime season 2. fuse action adventur fantasi shounen cheat demon isekai kingdom build magic manag modern knowledg monster person in a strang world polit reincarn rpg slime base on a manga physic abus 2021 miniseri highrank,4.45
31,Heaven Official's Blessing,"xie lian is a kind, gentl deiti who just cant seem to catch a break. the crown princ of a long-destroy kingdom, he endur centuri of plagues, violence, poverty, and multipl demot that have gotten him kick out of heaven. now a god with no followers, he reduc to collect scrap in the mortal realm. when hi banish is final lift and he is allow to ascend to heaven for a third time, hi rotten luck hold true when hi ascens caus the destruct of a heavenli palace; send the long-suff immort right back to the mortal realm to make up for hi misde by exorcis ghosts. xie lian soon meet a mysteri man in red who is clearli more than he seems, and the two grow ever closer as they begin to uncov dark secret the heavenli realm would have much prefer to keep hidden... moxiangtongxiu action bl comedi drama romanc shounen-ai afterlif ancient china chines anim demon king demon ghost god heaven histor interspeci relationship non-human protagonist opposit attract religion royalti supernatur xianxia base on a web novel bullying, violenc 2020 miniseri highrank",4.45
32,Ranking of Kings,"bojji, a deaf, powerless princ who cannot even wield a children\ sword. as the firstborn son, he strive hard and dream of becom the world\ greatest king. however, peopl mutter about him behind hi back as a good-for-noth princ and no way he can be king. bojji is abl to make hi first ever friend, kage (shadow) —\xa0a liter shadow on the ground who somehow understand bojji well. (kage is a survivor of the kage assassin clan that wa all but wipe out. no longer a killer, kage now make end meet by stealing.) the stori follow bojji\ coming-of-ag as he meet variou peopl in hi life, start with hi fate encount with kage. sousuketoka action adventur fantasi come of age disabl royalti base on a manga violenc 2021 movi highrank",4.45
33,Mushoku Tensei: Jobless Reincarnation - Part II,"rudeu greyrat new life take a shock turn when the countri of roa is overcom by a blind light, leav the fate of hi famili and friend unknown. he and hi student, eri are transport to the demon continent, a foreign land which is strang even to rudy. when a mysteri figure, claim to be a god and offer advice, rudi must decid whether or not thi stranger can be trusted. can rudi and eri make it back home, or will thi be the last new world in which rudi ever awakens? manabuokamoto action adventur drama fantasi romanc demon isekai magic neet person in a strang world reincarn base on a light novel matur themes, violenc 2021 miniseri highrank",4.45
34,Gintama.: Shirogane no Tamashii-hen 2,continu of\xa0gintama.: shirogan no tamashii-hen. hideakisorachi action comedi drama sci fi shounen alien crude feudal japan gag samurai slapstick swordplay base on a manga 2018 courseri highrank,4.44
